par_id,art_id,keyword,country,text,label,orig_label
1,@@24942188,hopeless,ph,"we 're living in times of absolute insanity , as i 'm pretty sure most people are aware . for a while , waking up every day to check the news seemed to carry with it the same feeling of panic and dread that action heroes probably face when they 're trying to decide whether to cut the blue or green wire on a ticking bomb -- except the bomb 's instructions long ago burned in a fire and imminent catastrophe seems the likeliest outcome . it 's hard to stay that on-edge for that long , though , so it 's natural for people to become inured to this constant chaos , to slump into a malaise of hopelessness and pessimism .",0,0
2,@@21968160,migrant,gh,"in libya today , there are countless number of ghanaian and nigerian immigrants . these are the two countries with key macroeconomic challenges including unemployment . let 's tackle this issue from the root and not the fruit . thank you",0,0
3,@@16584954,immigrant,ie,"""white house press secretary sean spicer said that the focus of immigration actions would be illegal immigrants """" who have also otherwise violated our laws """" .""",0,0
4,@@7811231,disabled,nz,council customers only signs would be displayed . two of the spaces would be reserved for disabled persons and there would be five p30 spaces and eight p60 ones .,0,0
5,@@1494111,refugee,ca,""""""" just like we received migrants fleeing el salvador and guatemala in the ' 80s and ' 90s , just like we 've seen thousands of economic refugees , we started seeing mexicans fleeing the violence in ju ? rez and other parts of mexico , """" says shelter director ruben garcia .""",0,0
6,@@9382277,in-need,in,"to bring down high blood sugar levels , insulin needs to be taken . if you are the type who requires insulin during meal time , you will have to take correct doses of insulin in order to lower your blood glucose . decision needs to be taken on when to inject it and how many times to inject . for this , you have to take the help of a health care professional .",0,0
7,@@7562079,refugee,za,"the european union is making an historic mistake in its haste to conclude a refugee deal with turkey , overlooking human rights violations that risk plunging the bloc 's largest membership candidate into civil war , said selahattin demirtas , leader of the nation 's most prominent pro-kurdish party .",0,0
8,@@23663488,hopeless,nz,""""""" they 're either hopeless for being beaten by a 10-year-old , or if they beat him , they 're a big bully . that 's the joke . in reality he 's got a great game . """"""",0,0
9,@@3449225,homeless,ph,"nueva era , ilocos norte - no family shall be homeless under the watch of the municipal government here , said town mayor aldrin garvida .",0,1
10,@@2485090,in-need,nz,"his spokesman said the kremlin needed more information about the rebels ' decision . he also said the rebel statement came only after the western-backed government in kiev had declared it would press on with its military operation , implying that ukraine was to blame for the rebels ' refusal to heed putin .",0,0
11,@@21290047,migrant,in,a federal appeals court on tuesday cleared the way for a 17-year-old immigrant held in custody in texas to obtain an abortion . the full us court of appeals for the district of columbia circuit ruled 6-3 in favor of the teen . the decision overturned a ruling by a three-judge panel of the court that at least temporarily blocked her from getting an abortion . the trump administration could still appeal the decision to the supreme court .,0,0
12,@@16996915,vulnerable,gb,we find ourselves in this situation because people are living longer and a number of more local factors including that the number of people requiring nursing care in their care home is increasing coupled with the increased demands for council-funded care to vulnerable people within their own homes .,0,0
13,@@13499386,women,pk,""""""" ghostbusters """" is a resurrection of the 1984 hit film but this time the leads are women , not men .""",0,0
14,@@14991409,poor-families,my,"in the government 's commitment to protect vulnerable groups , najib in the 2017 budget proposed financial assistance to poor families including general assistance up to rm300 per month and children assistance up to rm450 per month .",0,0
15,@@16989969,vulnerable,au,"when my dad died unexpectedly in 2014 , he was putting the finishing touches to his forthcoming book , climate change and the health of nations . the book examines historical records and finds that human health is very sensitive to changes in climate . and drawing on history , he warns that the impacts of climatic change -- such as environmental disaster , increasing temperatures , and food insecurity -- will amplify infectious diseases , under-nutrition , and heat-related deaths , especially among vulnerable populations , such as children and forcibly displaced people .",0,0
16,@@23471689,disabled,pk,"apart from pakistan and hosts england , bangladesh disabled cricket team will also participate in the tournament . <h> shahid afridi bags 11 man of the match awards in t20is ( most by any player ) <h> ab de villiers bagged a pair for the first time in his test career <h> super gossip",0,0
17,@@8886184,hopeless,sg,"for those few seconds , humanity is free of its shackles and one glimpses hope amid the hopelessness .",0,0
18,@@14988344,migrant,in,""""""" peace returned to assam after both hindus and muslims agreed to accept 1971 as the cut-off year for citizenship . today , the government wants to push the state towards unrest , """" he said at a convention organized by krishak mukti sangram samiti . he urged people who arrived in assam before 1971 to launch a united movement and scuttle the centre 's plan to regularize the entry of hindu immigrants from bangladesh .""",0,0
19,@@21929081,disabled,gh,"she said since 2014 , a total of 8000 intellectually disabled people in ghana had been offered special training to enhance their integration into society .",0,0
20,@@1850827,immigrant,tz,"""in short , reasons behind the operation look reasonable . the problem however , has been on the implementation side , much as those behind it talk about its success - on the grounds that , after all , thousands of illegal immigrants have left """" voluntarily """" to their countries of origin , while others have also been repatriated , as leaving the country under the given circumstances was not optional .""",0,0
21,@@4694770,immigrant,jm,"sisi 's lawyer , grisel ybarra , said the cuban community is on edge amid the ongoing negotiations between washington and havana and the uncertainty about what renewed relations will mean for immigrants .",0,0
22,@@395048,vulnerable,ph,"might this mean we 're more vulnerable to pain ? dr. francis javier , who until recently headed the pain management center at st. luke 's medical center , is looking into the genetics here , comparing filipinos of mixed ancestries to see if there are differences in the way pain medicines are broken down in the body .",0,0
23,@@25154641,homeless,ca,""""""" it highlights that different communities respond to the issue of homelessness in different ways , """" kneebone said .""",0,0
24,@@17221429,vulnerable,ph,""""""" the regional brands so far lag behind the global and big international chinese handset players in 4g and they have looked vulnerable to failing to jump the generation successfully and lose their place . """"""",0,0
25,@@7069687,refugee,au,"the incidents deepened public doubts about chancellor angela merkel 's decision to open germany 's doors to refugees and migrants , whose numbers reached 1.1 million last year .",0,0
26,@@3659219,women,za,some say that a review of the legislation of sex work helps to protect all involved in the services provided by these men and women .,0,0
27,@@16669409,migrant,za,""""""" i think that , you know , led to me being detained for five hours , as opposed to another sudanese person who was detained for 30 hours and is in his seventies . so , i think that that 's one aspect of it . on the flip side , when i went to terminal 4 , they did n't know my background , and i did feel -- you know , i guess the point that i actually want to make is , you know , i think this order is a reflection of a larger trend in this country to criminalise black people , to criminalise immigrants to criminalise muslims . and as a black muslim immigrant , i 'm really concerned about that . and i do think that the somalis and sudanese , people of african descent who are going to be affected by this , you know , i think they 're going to be treated differently , frankly . """"""",0,0
28,@@9706470,hopeless,us,"this year the 4th of july falls on monday , so you have a mere 24 hours to kick back and/or make the absolute most of your holiday before it 's back to the grind . with a time crunch like that , we can understand how it might seem hopeless , but never fear : lifehacker is here ! here are some tips to help you dive in headfirst and come out the other side of the holiday intact .",0,0
29,@@1306759,women,ca,farooqui said women 's groups were demanding fast-track courts to deal with rape and other crimes against women .,0,0
30,@@8969086,immigrant,my,""""""" i have the right family book . why do they say i 'm an immigrant and order me to pay 50,000 riel a year ? why do n't they acknowledge me as a cambodian citizen ? they just started this early this year . why was n't this a thing before ? """" mr. yang ros asked .""",0,0
31,@@19025195,homeless,bd,"nearly 110 families made homeless from the blaze are being housed at hotels in west london . churches and community centres are providing meals and support , and donations of clothing , toys and household supplies are flooding in .",0,0
32,@@16687353,refugee,my,"""cardinal tagle , who has visited refugee settlements as part of his role as caritas president , said he asks people who express reservations about receiving refugees and migrants , """" have you ever talked to a real refugee ? have you heard stories of real persons ? """"""",0,0
33,@@8301323,disabled,pk,arshad said that besides learning many new aspects of sports leadership he learnt how fast-developing nations were using sports as a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage .,1,2
34,@@24150149,disabled,ng,fast food employee who fed disabled man becomes internet sensation,1,3
35,@@7548760,migrant,za,"""the bloc 's 28 leaders will ask davutoglu 's government to accept """" large-scale """" deportations of economic migrants from greece , the main entry point to europe , and do more to implement a november deal to slow the flow of people into the bloc .""",0,0
36,@@20493025,homeless,ng,the foundation urged those who are willing to raise fund for the homeless victims to click on the link below for donation .,0,1
37,@@3277512,homeless,lk,"a fire that broke out in a labor camp in al sailiya on the 8th of may left approximately 300 sri lankans , employed at a janitorial service company in qatar , homeless . they have been provided with temporary lodging after the fire . expatriates who did not report to work under these circumstances have been arrested by the qatar authorities .",0,0
38,@@19143133,hopeless,bd,rizvi : there will be no joy this eid <h> ' the citizens of this nation are becoming hopeless ',0,1
39,@@24700959,homeless,ke,"floodtwo weeks ago , homes and farms were submerged by water , rendering a number of families in garissa and tana river homeless .",0,0
40,@@980736,immigrant,ie,"some 800,000 undocumented people are expected to benefit from the policy that will see them receive deferred action from deportation . undocumented immigrants who arrived in the u.s. under the age of 16 and have lived in the u.s. for more than five years can apply for relief , once they are under the age of 30 .",0,0
41,@@20645208,disabled,ca,"justin bour led off the ninth with his 22nd homer , and first since a six-week stint on the disabled list . ramos then gave up four singles , including two-out rbi hits by pinch-hitter a.j. ellis and ichiro suzuki .",0,0
42,@@4591694,hopeless,jm,vanessa had feelings of hopelessness in her final days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the state . her letter was conveyed to this court official by an investigator from the office of the children 's advocate .,1,3
43,@@16948790,poor-families,in,""""""" there is food given to poor families here by the government but we have not been able to access it , """" gwauya 's mother , sithela , told the thomson reuters foundation .""",0,0
44,@@20860277,vulnerable,ng,"comrade david kerigbo ugondo was born to the family of late pa akerigbo adikpo and wife , mrs. pam akerigbo adikpo on the 25th day of october 1950 in achagh mbaduku in vandeikya local government of benue state . his 67th birthday would be 25th of october . a well secured nigeria gave birth and nurtured comrade david into 27 years of meritorious service to industry and unionism . it is tragic that an unsecured nigeria in 2017 made him vulnerable to day-light gunshots on sunday september 10 , 2017 by criminal armed robbers who attacked around birnin gwari town of kaduna state . may god grant him and other victims which included an army captain and infant baby eternal rest in paradise .",0,1
45,@@4002879,refugee,us,"currently , what 's left to the palestinian people is nothing more than the tiny territory of gaza strip , which is a de facto prison of palestinian refugees , as well as the scattered and isolated villages and cities of the west bank .",0,1
46,@@8054332,in-need,us,"orlando , fla. - are you missing something fuzzy and cute in your life ? many cats and dogs can fill that need and are in need of good homes .",0,0
47,@@7267604,in-need,nz,more than 750 trolleys of food donated to those in need,0,0
48,@@21492418,vulnerable,nz,"deans now lives in japan and previously coached the wallabies but remains a staunch kiwi . asked to assess whether the all blacks were vulnerable at present , he gave an empathic response .",0,0
49,@@23188586,immigrant,gh,"the us senate 's much-touted freewheeling immigration debate failed to materialize tuesday , raising prospects of congress and president donald trump falling short in striking a deal on border security and the legalization of young immigrants .",0,0
50,@@22222249,disabled,ph,"before april 2005 , the official definition of the unemployed was those who did not work during the reference week and are looking for work . however , from april 2005 onwards , the official definition was refined as follows : not working , looking for work , and available for work . it subtracts those who are looking but not available for work and adds those available but not looking for work for the following reasons : tired/believe no work is available , awaiting results of a job application , temporarily ill/disabled , bad weather , and waiting for rehire/job recall .",0,0
51,@@14015696,hopeless,nz,"number 3 : we 're not all weird hippies living off the grid . in fact , i 'd wager that the most business-savvy , conventional people are filling up small town nz . after all , it 's the place to be if you are a young person looking to get into the housing market . and we are eternally grateful to the economists who constantly tell auckland 's young people that the case for home-ownership is hopeless , instead of encouraging them to look elsewhere . it means less competition for homes where we live . that means that when we do buy , the mortgages are manageable which means -- you guessed it -- yet another reason we 're all ageing well .",0,0
52,@@9925501,disabled,ca,"""in line with the modi government 's mission """" accessible india , empowered india """" , together with the """" national policy for persons with disabilities """" and the """" un convention on rights of persons with disabilities """" , the code has for the first time made elaborate provisions for making buildings and public places accessible to millions of disabled and elderly persons . the code for barrier-free built environment will be applicable to all forms of public housing by government and private builders .""",0,0
53,@@15319429,women,bd,"the 2015 study states that 97% of women see sexual harassment as a form of violence . in addition , another 85% of women feel disparaging remarks are insulting and offensive .",0,0
54,@@18760930,disabled,ke,a court ordered an oil company to pay a former employee sh5.7 million for sacking him because he was disabled .,0,0
