par_id,art_id,text,keyword,country,label
4046,@@14767805,we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .,hopeless,us,[1 0 0 1 0 0 0]
1279,@@7896098,"pope francis washed and kissed the feet of muslim , orthodox , hindu and catholic refugees in a moving ceremony during holy thursday mass at a refugee centre on the outskirts of rome . ( march 24 )",refugee,ng,[0 1 0 0 0 0 0]
8330,@@17252299,"many refugees do n't want to be resettled anywhere , let alone in the us .",refugee,ng,[0 0 1 0 0 0 0]
4063,@@3002894,"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives .""",in-need,ie,[1 0 0 1 1 1 0]
4089,@@25597822,"""in a 90-degree view of his constituency , one can see a high rise and a flyover while underneath it , homeless people sleep on pavements . """" as you can see , my constituency is not confined to one socio-economic group , """" he said , adding that apart from water , another major concern for him is to improve the standard of public schools in the area .""",homeless,pk,[1 0 0 0 0 0 0]
432,@@15802146,"he depicts demonstrations by refugees at the border post , their catastrophic living conditions and the desperate attempt of several hundred to cross a river a few kilometres from the camp to get into macedonia on 14 march 2016 .",refugee,nz,[0 0 0 0 0 1 0]
4177,@@930041,"the word of god is truth that 's living and able to penetrate human souls ( heb. 4:12 ) . consider how powerful scripture is : it can change hearts , save lives from eternal condemnation , and give hope to the hopeless .",hopeless,us,[1 0 0 0 0 1 0]
3963,@@18867357,"chantelle owens , mrs planet 2016 , hosted the day and the ladies had the chance to share their compassion for those in need .",in-need,za,[1 1 0 0 0 1 0]
2001,@@14012804,t is remiss not to mention here that not all scavenging children come from poor families . children hailing from affluent families use dumpsites as playgrounds .,poor-families,tz,[0 0 1 0 0 0 0]
369,@@15636898,""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """"""",women,ie,[1 0 1 1 0 1 0]
773,@@1759840,"sheepherding in america has always been an immigrant 's job , too dirty , too cold and too lonely for anyone with options .",immigrant,us,[1 0 1 0 0 1 0]
6510,@@1896265,""""""" these poor ladies are definitely going through some traumatic issues right now , and i am asking that they come forward so that i help them ? together with women parliamentarians - to be able to heal .""",women,ke,[1 1 1 1 0 1 0]
7394,@@23558761,"karachi - on the eve of international women 's day , pakistan people 's party chairman bilawal bhutto zardari has announced that his party 's women wing will organise karwan-e-benazir rallies in all the provincial capitals and in azad jammu &amp; kashmir , gilgit-baltistan and fata to celebrate the day and ppp 's achievements for empowerment of women in the country .",women,pk,[1 1 0 0 0 0 0]
1572,@@3446452,if only we had more stories that championed the brilliance of migrant workers perhaps we 'd be able to challenge the silence that permits them to be treated in such a disdainful way .,migrant,ph,[1 0 0 0 0 1 1]
